"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
44,15,31911,3.642,6849849547,3249849547,15,-2.302849769592285,2.659420251846313,0.9426189661026001
13,1,31919,2.3,6849849570,3249849570,1,-1.502942323684692,1.740561127662659,0.0401405356824398
20,3,31920,1.328,6849849575,3249849575,3,-0.8665533661842346,1.003911733627319,0.06950215250253677
67,5,31922,3.122,6849849579,3249849579,5,-2.031394481658936,2.355054616928101,0.2721002399921417
1,6,31923,1.412,6849849581,3249849581,-9,-0.9107179045677185,1.056194305419922,-0.2208854705095291
82,7,31924,3.126,6849849584,3249849584,7,-2.025727510452271,2.35014271736145,0.3809635639190674
13,8,31925,1.422,6849849586,3249849586,-7,-0.9213055372238159,1.069227695465088,-0.1732982099056244
66,9,31926,3.164,6849849588,3249849588,9,-2.039490938186646,2.367781400680542,0.4949586391448975
22,10,31926,2.02,6849849591,3249849591,-5,-1.313291072845459,1.52468729019165,-0.1760545969009399
50,11,31927,3.236,6849849593,3249849593,11,-2.072680950164795,2.407163381576538,0.6174579262733459
66,12,31928,3.1,6849849595,3249849595,-3,-2.019553899765015,2.346290826797485,-0.1622414588928223
40,13,31929,3.326,6849849598,3249849598,13,-2.113719940185547,2.456558704376221,0.7481871843338013
54,14,31930,2.714,6849849600,3249849600,-1,-1.769525527954102,2.057263135910034,-0.04736582934856415
23,15,31930,3.428,6849849602,3249849602,15,-2.159224033355713,2.510329723358154,0.887231707572937
14,1,31939,2.314,6849849625,3249849625,1,-1.505968809127808,1.756423354148865,0.04038487002253532
21,3,31940,1.328,6849849630,3249849630,3,-0.8630437850952148,1.006930470466614,0.06950215250253677
61,5,31942,3.124,6849849634,3249849634,5,-2.024457454681396,2.363644361495972,0.2722745537757874
1,6,31943,1.46,6849849637,3249849637,-9,-0.9378592371940613,1.09537935256958,-0.2283943146467209
73,7,31944,3.136,6849849639,3249849639,7,-2.02396559715271,2.364740133285522,0.3821822702884674
15,8,31945,1.438,6849849641,3249849641,-7,-0.9278918504714966,1.084503889083862,-0.1752481162548065
72,9,31946,3.162,6849849644,3249849644,9,-2.029929399490356,2.373384952545166,0.4946457743644714
21,10,31946,2.002,6849849646,3249849646,-5,-1.296305775642395,1.515635132789612,-0.1744858026504517
55,11,31947,3.234,6849849648,3249849648,11,-2.062989950180054,2.412891387939453,0.6170762777328491
64,12,31948,3.112,6849849651,3249849651,-3,-2.019137382507324,2.362435579299927,-0.1628694981336594
42,13,31949,3.298,6849849653,3249849653,13,-2.087409973144531,2.443179368972778,0.7418885827064514
56,14,31950,2.724,6849849655,3249849655,-1,-1.768827080726624,2.071030378341675,-0.04754035547375679
47,15,31950,3.332,6849849657,3249849657,15,-2.090225696563721,2.447339773178101,0.8623850345611572
14,1,31959,2.304,6849849680,3249849680,1,-1.493346929550171,1.754056453704834,0.04021034389734268
22,3,31961,1.328,6849849685,3249849685,3,-0.859347403049469,1.010086894035339,0.06950215250253677
43,5,31962,3.13,6849849690,3249849690,5,-2.020066738128662,2.375249862670898,0.2727974653244019
1,6,31963,1.468,6849849692,3249849692,-9,-0.93914794921875,1.104666471481323,-0.2296457886695862
66,7,31964,3.136,6849849694,3249849694,7,-2.015698671340942,2.371790885925293,0.3821822702884674
14,8,31965,1.43,6849849697,3249849697,-7,-0.9189595580101013,1.081684947013855,-0.1742731630802155
82,9,31965,3.184,6849849699,3249849699,9,-2.036116600036621,2.396663188934326,0.4980873465538025
21,10,31966,2.014,6849849701,3249849701,-5,-1.298745632171631,1.529262661933899,-0.1755316704511642
56,11,31967,3.246,6849849704,3249849704,11,-2.062178373336792,2.429057836532593,0.6193659901618958
67,12,31968,3.144,6849849706,3249849706,-3,-2.031555891036987,2.393834114074707,-0.1645442396402359
73,13,31969,3.298,6849849708,3249849708,13,-2.078868865966797,2.450450897216797,0.7418885827064514
57,14,31970,2.744,6849849710,3249849710,-1,-1.774520874023438,2.092443227767944,-0.04788940399885178
57,15,31971,3.308,6849849713,3249849713,15,-2.066250801086426,2.437301635742188,0.8561733961105347
13,1,31979,2.316,6849849736,3249849736,1,-1.494961023330688,1.768421292304993,0.04041977226734161
21,3,31980,1.328,6849849740,3249849740,3,-0.8559930920600891,1.012930989265442,0.06950215250253677
68,5,31982,3.222,6849849745,3249849745,5,-2.070894956588745,2.452309131622314,0.2808158099651337
67,7,31984,3.2,6849849750,3249849750,7,-2.048374891281128,2.427359580993652,0.3899818956851959
14,8,31985,1.442,6849849752,3249849752,-7,-0.9228579998016357,1.093989968299866,-0.1757355928421021
53,9,31986,3.202,6849849754,3249849754,9,-2.038779735565186,2.417701005935669,0.5009031295776367
22,10,31986,2.028,6849849757,3249849757,-5,-1.302390456199646,1.544448733329773,-0.1767518520355225
64,11,31987,3.258,6849849759,3249849759,11,-2.061279058456421,2.445247888565063,0.6216557025909424
60,12,31988,3.124,6849849761,3249849761,-3,-2.010317325592041,2.385637998580933,-0.1634975224733353
76,13,31989,3.286,6849849763,3249849763,13,-2.062769651412964,2.448750019073486,0.7391891479492188
56,14,31990,2.756,6849849766,3249849766,-1,-1.7749342918396,2.107802391052246,-0.04809883236885071
79,15,31991,3.312,6849849768,3249849768,15,-2.060218572616577,2.447455167770386,0.8572086691856384
13,1,31997,2.322,6849849791,3249849791,1,-1.493256568908691,1.777702689170837,0.04052448645234108
23,3,31998,1.312,6849849796,3249849796,3,-0.8425318598747253,1.003378868103027,0.06866477429866791
78,5,32000,3.218,6849849800,3249849800,5,-2.060619354248047,2.455750465393066,0.2804671823978424
108,7,32002,3.274,6849849805,3249849805,7,-2.087931156158447,2.490063905715942,0.3990002274513245
17,8,32003,1.432,6849849807,3249849807,-7,-0.9130405783653259,1.089277148246765,-0.1745169013738632
95,9,32003,3.288,6849849810,3249849810,9,-2.086162328720093,2.488836765289307,0.5143564939498901
24,10,32004,2.05,6849849812,3249849812,-5,-1.311607837677002,1.565331339836121,-0.178669273853302
82,11,32005,3.27,6849849814,3249849814,11,-2.061150789260864,2.460741758346558,0.623945415019989
69,12,32006,3.112,6849849816,3249849816,-3,-1.995119452476501,2.382753849029541,-0.1628694981336594
63,13,32007,3.29,6849849819,3249849819,13,-2.057568073272705,2.458207130432129,0.740088939666748
57,14,32008,2.768,6849849821,3249849821,-1,-1.776003241539001,2.122569799423218,-0.04830826073884964
74,15,32009,3.314,6849849823,3249849823,15,-2.053759098052979,2.455397129058838,0.8577263355255127
14,1,32017,2.35,6849849846,3249849846,1,-1.504973649978638,1.80440354347229,0.04101315513253212
23,3,32018,1.304,6849849851,3249849851,3,-0.8339083194732666,1.00017774105072,0.06824608892202377
72,5,32020,3.214,6849849856,3249849856,5,-2.049483776092529,2.459867000579834,0.2801185548305511
78,7,32022,3.268,6849849860,3249849860,7,-2.075415849685669,2.492760419845581,0.3982690274715424
19,8,32023,1.434,6849849863,3249849863,-7,-0.9105026125907898,1.09398341178894,-0.174760639667511
100,9,32023,3.278,6849849865,3249849865,9,-2.071143627166748,2.48851203918457,0.51279217004776
25,10,32024,2.056,6849849867,3249849867,-5,-1.309958577156067,1.574494957923889,-0.1791922003030777
91,11,32025,3.284,6849849869,3249849869,11,-2.061336278915405,2.478487491607666,0.6266167163848877
34,12,32026,3.128,6849849872,3249849872,-3,-1.997004866600037,2.401989936828613,-0.1637068688869476
91,13,32027,3.308,6849849874,3249849874,13,-2.060184955596924,2.478862762451172,0.7441380620002747
58,14,32028,2.764,6849849876,3249849876,-1,-1.766027450561523,2.125680208206177,-0.04823845252394676
82,15,32029,3.34,6849849879,3249849879,15,-2.06122088432312,2.481871128082275,0.8644556403160095
15,1,32038,2.36,6849849902,3249849902,1,-1.504726052284241,1.817609190940857,0.04118767753243446
24,3,32039,1.31,6849849906,3249849906,3,-0.8340569734573364,1.007843494415283,0.06856010109186172
65,5,32041,3.182,6849849911,3249849911,5,-2.020138502120972,2.442795991897583,0.2773295640945435
61,7,32043,3.252,6849849915,3249849915,7,-2.056149244308472,2.48810887336731,0.3963190913200378
21,8,32044,1.45,6849849918,3249849918,-7,-0.9166010618209839,1.109556555747986,-0.1767105460166931
73,9,32044,3.276,6849849920,3249849920,9,-2.060750722885132,2.494563579559326,0.512479305267334
24,10,32045,2.062,6849849922,3249849922,-5,-1.307984948158264,1.583894491195679,-0.1797151416540146
83,11,32046,3.282,6849849925,3249849925,11,-2.050988435745239,2.484512090682983,0.6262351274490356
43,12,32047,3.19,6849849927,3249849927,-3,-2.027595520019531,2.457047700881958,-0.1669517010450363
107,13,32048,3.314,6849849929,3249849929,13,-2.054805994033813,2.490906715393066,0.7454878091812134
57,14,32049,2.772,6849849932,3249849932,-1,-1.76331353187561,2.138309955596924,-0.04837806895375252
116,15,32049,3.354,6849849934,3249849934,15,-2.061148643493652,2.499484300613403,0.8680790662765503
14,1,32058,2.356,6849849957,3249849957,1,-1.495832681655884,1.819761037826538,0.04111786931753159
24,3,32059,1.31,6849849962,3249849962,3,-0.8305338621139526,1.010748744010925,0.06856010109186172
37,5,32061,3.168,6849849966,3249849966,5,-2.002748727798462,2.439054012298584,0.2761093974113464
56,7,32063,3.194,6849849971,3249849971,7,-2.010934829711914,2.450767278671265,0.3892506957054138
19,8,32064,1.454,6849849973,3249849973,-7,-0.9152402281761169,1.115819096565247,-0.1771980226039886
43,9,32064,3.244,6849849975,3249849975,9,-2.031986236572266,2.477304697036743,0.5074734091758728
26,10,32065,2.068,6849849978,3249849978,-5,-1.306238055229187,1.593072652816772,-0.1802380830049515
64,11,32066,3.274,6849849980,3249849980,11,-2.037325143814087,2.485582590103149,0.6247086524963379
72,12,32067,3.218,6849849982,3249849982,-3,-2.036728143692017,2.48573899269104,-0.1684171110391617
80,13,32068,3.312,6849849985,3249849985,13,-2.044863700866699,2.496556758880615,0.7450379133224487
57,14,32069,2.784,6849849987,3249849987,-1,-1.763439655303955,2.153735160827637,-0.04858750104904175
77,15,32070,3.342,6849849989,3249849989,15,-2.044631958007813,2.498052358627319,0.864973247051239
14,1,32078,2.368,6849850012,3249850012,1,-1.497057795524597,1.834266543388367,0.04132729768753052
24,3,32080,1.306,6849850017,3249850017,3,-0.8242990374565125,1.010690450668335,0.06835076212882996
55,5,32081,3.15,6849850021,3249850021,5,-1.982891917228699,2.432132244110107,0.2745406031608582
51,7,32083,3.158,6849850026,3249850026,7,-1.979798913002014,2.430069923400879,0.3848633766174316
19,8,32084,1.462,6849850028,3249850028,-7,-0.9163540005683899,1.125163912773132,-0.1781729757785797
51,9,32084,3.204,6849850031,3249850031,9,-1.998377919197083,2.453748941421509,0.5012160539627075
26,10,32085,2.088,6849850033,3249850033,-5,-1.31324827671051,1.613073468208313,-0.1819811910390854
52,11,32086,3.252,6849850035,3249850035,11,-2.015004873275757,2.475929260253906,0.6205108761787415
66,12,32087,3.2,6849850038,3249850038,-3,-2.016695022583008,2.478889465332031,-0.1674750596284866
